Kata,Counts
bumn,12
erick,11
thohir,6
program,6
ekonomi,5
fokus,4
lingkungan,4
pendidikan,4
indonesia,4
bakti,3
csr,3
baca,3
hidup,3
data,3
dirimu,3
kerakyatan,2
kompas,2
com,2
perusahaan,2
negara,2
